epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,278.221,3.26278,5.93597,0,3.52828,1.67727,0.09732,0.09155,0.03174,0.0073,0.11229,0.10563,0.03022,0.00583,3.56833,5.78182,0,3.19743,1.55302,0.00119382,0.00119382,0.00119382
3,471.902,3.11988,5.57615,0,3.17642,1.60318,0.30097,0.08451,0.07145,0.0192,0.31342,0.09155,0.08519,0.02212,3.44757,4.70082,0,2.80041,1.50418,0.00159732,0.00159732,0.00159732
4,656.771,3.00995,5.10293,0,3.11106,1.56543,0.40843,0.07042,0.07638,0.02517,0.11502,0.10563,0.03719,0.01202,3.37402,4.824,0,3.09412,1.49637,0.001406,0.001406,0.001406
5,842.928,2.92755,4.85096,0,2.91091,1.51942,0.36246,0.11972,0.10421,0.02892,0.41209,0.1338,0.10523,0.03831,3.09623,4.20119,0,2.74915,1.38203,0.001208,0.001208,0.001208
6,1298.29,2.79599,4.6367,0,2.63698,1.48175,0.26417,0.15493,0.09372,0.02947,0.29088,0.1831,0.12421,0.05913,2.89265,3.64655,0,2.41903,1.32292,0.00101,0.00101,0.00101
7,1436.69,2.67472,4.34637,0,2.48355,1.4515,0.28769,0.16901,0.11645,0.02865,0.39379,0.22535,0.17825,0.07942,3.06523,3.51286,0,2.33013,1.32767,0.000812,0.000812,0.000812
8,1590.25,2.65061,4.34281,0,2.38781,1.40371,0.39781,0.1831,0.14707,0.04112,0.45913,0.26056,0.24329,0.1084,2.95515,3.45307,0,2.34113,1.32066,0.000614,0.000614,0.000614
9,1753.56,2.51347,4.08263,0,2.24176,1.34155,0.47302,0.19014,0.15732,0.05039,0.58989,0.23239,0.23565,0.12161,2.90731,3.48303,0,2.42471,1.28305,0.000416,0.000416,0.000416
10,1917.65,2.49708,3.77209,0,2.12918,1.3538,0.48154,0.28169,0.20114,0.06379,0.45816,0.30986,0.26047,0.12344,2.85204,3.21222,0,2.04476,1.25624,0.000218,0.000218,0.000218
1,152.57,3.60089,7.26358,0,13.9782,1.93336,0.00136,0.19718,0.00392,0.00169,0.00039,0.05634,0.00022,3e-05,3.28873,7.26788,0,4.82569,1.32992,0.000548721,0.000548721,0.000548721
2,315.472,3.19715,6.23064,0,6.77873,1.57479,0.02087,0.16901,0.01428,0.00283,0.12906,0.02113,0.0269,0.00675,3.56361,6.22103,0,4.72202,1.48857,0.000995053,0.000995053,0.000995053
3,489.234,3.03817,5.6829,0,5.07682,1.55308,0.2173,0.09155,0.04683,0.01703,0.26286,0.11268,0.06432,0.02045,3.23548,5.02074,0,4.03488,1.4758,0.00133136,0.00133136,0.00133136
4,670.115,2.8807,5.13568,0,4.74221,1.51127,0.13454,0.11268,0.06691,0.02278,0.1333,0.09859,0.06356,0.0216,3.26873,4.73534,0,7.81402,1.44729,0.0011719,0.0011719,0.0011719
1,41.3568,0,0,0,26.4783,0,0,0,0,0,0,0,0,0,0,0,0,3.64432,0,0.00023338,0.00023338,0.00023338
2,77.4834,0,0,0,19.5462,0,0,0,0,0,0,0,0,0,0,0,0,1.70957,0,0.00043557,0.00043557,0.00043557
3,111.641,0,0,0,15.8719,0,0,0,0,0,0,0,0,0,0,0,0,1.15436,0,0.000588251,0.000588251,0.000588251
4,144.992,0,0,0,13.9406,0,0,0,0,0,0,0,0,0,0,0,0,1.21239,0,0.000691422,0.000691422,0.000691422
1,37.4772,0,0,0,26.4783,0,0,0,0,0,0,0,0,0,0,0,0,3.64432,0,0.00023338,0.00023338,0.00023338
1,41.0792,0,0,0,26.4783,0,0,0,0,0,0,0,0,0,0,0,0,3.64432,0,0.00023338,0.00023338,0.00023338
1,272.321,0,0,0,18.2294,0,0,0,0,0,0,0,0,0,0,0,0,9.14344,0,0.000548721,0.000548721,0.000548721
1,268.072,3.94145,6.9428,0.69796,11.0721,2.15472,0.06789,0.0493,0.0071,0.00184,0.05819,0.04225,0.00885,0.00135,3.79601,6.48216,0.6846,5.98995,1.48849,0.000411458,0.000411458,0.000411458
1,275.596,1.97708,4.58645,0.71285,3.06148,1.83373,0.70669,0.50581,0.52792,0.26506,0.42049,0.34302,0.2493,0.06921,1.77638,4.62662,0.70519,2.45064,1.66011,0.000412186,0.000412186,0.000412186
1,162.637,1.99213,4.71229,0.70207,3.36406,1.90852,0.51188,0.2465,0.17845,0.09071,0.51299,0.19468,0.16194,0.0906,1.67835,4.31288,0.68963,2.90685,1.58963,0.000412186,0.000412186,0.000412186
